label,x,y,z
TKC,113.37900399999992,-10.078063999999983,-463.7349915780143
TA,68.02742799999996,5.8789720000000045,-791.7349857624114
TT,131.01572799999994,-31.914007999999995,-494.7349910283689
TMC,91.54305999999994,-13.437439999999981,-466.73499152482276
TLC,135.21494799999996,4.199284000000006,-466.73499152482276
TPCL,106.66025199999993,12.597724,-473.7349914007093
TPM,86.50399599999994,5.039128000000005,-469.7349914716313
TPL,126.81650799999991,24.35554000000002,-476.7349913475178

